dropped_gene,coherence_without,delta,contribution,is_DAM,rank
APOE,0.0455533569871273,-0.009440768974787,0.009440768974787,True,1
C1QC,0.0464345754667071,-0.0085595504952072,0.0085595504952072,False,2
C1QB,0.0476024383802455,-0.0073916875816688,0.0073916875816688,False,3
C1QA,0.0489129999300479,-0.0060811260318663,0.0060811260318663,False,4
B2M,0.0490892976247197,-0.0059048283371946,0.0059048283371946,True,5
TYROBP,0.0518806908719138,-0.0031134350900005,0.0031134350900005,True,6
CD68,0.0523952514281017,-0.0025988745338126,0.0025988745338126,True,7
SPP1,0.052426026100357,-0.0025680998615573,0.0025680998615573,True,8
TREM2,0.0531684655305082,-0.0018256604314061,0.0018256604314061,True,9
CLEC7A,0.0558856871815382,0.0008915612196238,-0.0008915612196238,True,10
GPNMB,0.056572968298253,0.0015788423363386,-0.0015788423363386,True,11
TLR2,0.0574583853087795,0.0024642593468651,-0.0024642593468651,False,12
LPL,0.0577279498142025,0.0027338238522881,-0.0027338238522881,True,13
IL1B,0.0580136874916814,0.003019561529767,-0.003019561529767,False,14
LGALS3,0.0580476100845237,0.0030534841226094,-0.0030534841226094,True,15
CXCL10,0.0591903769116855,0.0041962509497712,-0.0041962509497712,False,16
TNF,0.0592918086977583,0.0042976827358439,-0.0042976827358439,False,17
C3,0.0598427445890999,0.0048486186271855,-0.0048486186271855,False,18
ITGAX,0.0606652720019386,0.0056711460400242,-0.0056711460400242,True,19
CST7,0.0621343300481943,0.0071402040862799,-0.0071402040862799,True,20
CD44,0.0625827224528183,0.0075885964909039,-0.0075885964909039,False,21
