gene,cell_type,condition,mean_logCPM,pct_detect,n_cells
Tnfaip6,Microglia,TBI,0.0045,0.28,94994
Cd44,Microglia,TBI,0.1889,10.67,94994
Spp1,Microglia,TBI,0.9708,37.44,94994
Tlr2,Microglia,TBI,0.6033,32.22,94994
Tlr4,Microglia,TBI,0.1395,8.46,94994
Has1,Microglia,TBI,0.0005,0.03,94994
Has2,Microglia,TBI,0.0001,0.01,94994
Has3,Microglia,TBI,0.0017,0.11,94994
Hyal1,Microglia,TBI,0.0502,2.94,94994
Hyal2,Microglia,TBI,0.0688,4.37,94994
Hmmr,Microglia,TBI,0.03,1.88,94994
Anxa1,Microglia,TBI,0.0479,2.8,94994
Tgfb1,Microglia,TBI,0.9753,49.5,94994
Socs3,Microglia,TBI,0.963,46.26,94994
Tnfaip6,Microglia,Control,0.0003,0.01,41130
Cd44,Microglia,Control,0.0077,0.4,41130
Spp1,Microglia,Control,0.0083,0.4,41130
Tlr2,Microglia,Control,0.3334,16.66,41130
Tlr4,Microglia,Control,0.1415,7.3,41130
Has1,Microglia,Control,0.0002,0.01,41130
Has2,Microglia,Control,0.0,0.0,41130
Has3,Microglia,Control,0.0011,0.06,41130
Hyal1,Microglia,Control,0.0662,3.37,41130
Hyal2,Microglia,Control,0.0506,2.62,41130
Hmmr,Microglia,Control,0.0031,0.16,41130
Anxa1,Microglia,Control,0.0013,0.06,41130
Tgfb1,Microglia,Control,1.2752,58.11,41130
Socs3,Microglia,Control,1.1632,50.9,41130
Tnfaip6,Astrocyte,TBI,0.0289,1.72,2497
Cd44,Astrocyte,TBI,0.2999,16.54,2497
Spp1,Astrocyte,TBI,0.3545,17.9,2497
Tlr2,Astrocyte,TBI,0.082,5.29,2497
Tlr4,Astrocyte,TBI,0.0383,2.64,2497
Has1,Astrocyte,TBI,0.0021,0.12,2497
Has2,Astrocyte,TBI,0.032,2.8,2497
Has3,Astrocyte,TBI,0.0012,0.12,2497
Hyal1,Astrocyte,TBI,0.0528,3.52,2497
Hyal2,Astrocyte,TBI,0.0566,4.37,2497
Hmmr,Astrocyte,TBI,0.0026,0.2,2497
Anxa1,Astrocyte,TBI,0.2628,14.3,2497
Tgfb1,Astrocyte,TBI,0.1121,6.85,2497
Socs3,Astrocyte,TBI,0.2762,16.3,2497
Tnfaip6,Astrocyte,Control,0.0156,0.65,611
Cd44,Astrocyte,Control,0.0207,0.98,611
Spp1,Astrocyte,Control,0.0,0.0,611
Tlr2,Astrocyte,Control,0.0443,2.78,611
Tlr4,Astrocyte,Control,0.0316,1.8,611
Has1,Astrocyte,Control,0.0,0.0,611
Has2,Astrocyte,Control,0.0,0.0,611
Has3,Astrocyte,Control,0.0,0.0,611
Hyal1,Astrocyte,Control,0.0334,1.8,611
Hyal2,Astrocyte,Control,0.043,2.13,611
Hmmr,Astrocyte,Control,0.0044,0.16,611
Anxa1,Astrocyte,Control,0.1298,5.89,611
Tgfb1,Astrocyte,Control,0.1812,9.82,611
Socs3,Astrocyte,Control,0.3175,15.22,611
