gene,AD_lfc,TBI_lfc,n_enh_variants,n_AD_assoc,max_chrombpnet_jsd
SPP1,1.2575761079788208,0.8856773972511292,80,0,0.017035656
CD44,-0.1866035461425781,0.1314099133014679,62,0,0.015616457
ITGAX,0.1718373894691467,0.0382992289960384,50,0,0.0055175014
TREM2,0.0180558115243911,-0.5096457004547119,71,17,0.059196346
TYROBP,-0.1404832005500793,0.0108253955841064,84,1,0.009169642
C3,0.26619553565979,0.0194920599460601,118,0,0.005277495
C1QA,0.2942963242530823,-0.3475155830383301,75,0,0.0054906965
C1QB,0.5472484230995178,-0.3245718479156494,8,0,0.00040147128
C1QC,0.2896817922592163,-0.3732485771179199,0,0,
CST7,0.0152539340779185,0.1955257654190063,143,0,0.023060005
GPNMB,-0.0722884237766265,0.2528851926326751,74,1,0.0062293154
LPL,0.0541946627199649,0.7488800287246704,87,0,0.004772257
CLEC7A,0.071356177330017,,132,0,0.0011485977
LGALS3,0.0435105264186859,0.5668944716453552,77,2,0.00066244847
TLR2,0.7168870568275452,0.2382889091968536,84,0,0.052355938
CD68,0.056210771203041,0.1832726001739502,115,2,0.008677413
B2M,0.0164871215820312,0.1451072692871093,51,0,0.004717687
APOE,0.6076567769050598,0.883877158164978,152,55,0.002691411
IL1B,0.0546826347708702,0.4173147082328796,74,0,0.009362079
TNF,0.0157748982310295,0.8099101185798645,243,18,0.0119166775
CXCL10,0.0025458354502916,0.3537304997444153,47,0,0.0049685147
