gene,arm,contrast,estimate,P,FDR,n_aptamers
SPP1,accelerator,A-T- vs A+T+ (full AD),0.0774994004174784,1.03313885824903e-39,2.2729054881478658e-38,1
CD44,accelerator,A-T- vs A+T+ (full AD),-0.00256085964285854,0.0515133728450042,0.0755529468393395,1
TREM2,accelerator,A-T- vs A+T+ (full AD),0.027378097445108763,0.000137849707397472,0.000758173390686096,3
C3,accelerator,A-T- vs A+T+ (full AD),0.03392020148104977,0.0604461029200714,0.08311339151509818,6
C1QC,accelerator,A-T- vs A+T+ (full AD),0.00402027162087839,0.0136847527292268,0.0273695054584536,1
CST7,accelerator,A-T- vs A+T+ (full AD),0.00404135505006428,0.0222306767364974,0.04075624068357857,2
GPNMB,accelerator,A-T- vs A+T+ (full AD),0.016143280307920338,0.0270667576699981,0.04580528221076601,4
LPL,accelerator,A-T- vs A+T+ (full AD),0.0188983854292065,0.000898701552541136,0.0032952390259841655,1
CLEC7A,accelerator,A-T- vs A+T+ (full AD),0.00185840608516333,0.387608174984687,0.40606570712681495,1
LGALS3,accelerator,A-T- vs A+T+ (full AD),-0.00449076407901492,0.251409231885954,0.2911054263942625,1
TLR2,accelerator,A-T- vs A+T+ (full AD),-0.00736729196867104,2.07902227834562e-09,2.286924506180182e-08,1
CD68,accelerator,A-T- vs A+T+ (full AD),0.01800710428531615,0.00269512684034546,0.006588087831955568,2
B2M,accelerator,A-T- vs A+T+ (full AD),-0.00226824842899106,0.00263811324010842,0.006588087831955568,2
APOE,accelerator,A-T- vs A+T+ (full AD),0.0029016116025096525,0.0130385767322027,0.0273695054584536,4
IL1B,accelerator,A-T- vs A+T+ (full AD),-0.00526850013032192,0.00084128528528351,0.0032952390259841655,1
TNF,accelerator,A-T- vs A+T+ (full AD),-0.0013375639072561998,0.111567220328879,0.13635993595751877,2
TNFAIP6,brake,A-T- vs A+T+ (full AD),-0.00495227069351848,0.0400425647271301,0.06292403028549017,1
ANXA1,brake,A-T- vs A+T+ (full AD),-0.0207747253101713,0.00134965921927125,0.004241786117709643,1
TGFB1,brake,A-T- vs A+T+ (full AD),0.0013986898048400814,0.606936727902205,0.606936727902205,3
SOCS3,brake,A-T- vs A+T+ (full AD),0.0140129772713281,0.27699981737506,0.304699799112566,1
