x,y,accel,injury
3109,-69,1.117248665854085,1.3205238797163916
2995,-67,0.6119188858609845,1.2420679837424438
2882,-65,0.7604379644491733,1.2742258374761857
3508,24,0.9851375769629248,1.10798469306999
3281,27,0.5984937715208786,0.4835717246641569
3167,29,0.7966018008637359,0.4541463954137599
3054,30,0.32134982079920127,-0.12412997056712505
2940,32,0.6970117742275159,0.1455295573467915
2827,34,0.5886996974668849,0.12152553694691447
2713,35,0.1657080461965569,-0.08575347093078463
2599,37,1.5473077248387361,2.156267280959006
2486,39,1.5204726795094055,2.3995585821719163
3793,118,0.7354803551647753,1.3087129740594028
3680,120,0.3221262236949032,0.8344553143809916
3566,121,1.1592598791816697,0.5178310613853664
3452,123,0.23922172219499588,0.1320247740497634
3339,125,0.030428319750523458,-0.011731527066961123
3225,126,-0.16798153561531484,-0.21567897239774872
3112,128,-0.06526494824939237,-0.23635908315934273
2998,129,0.08531697489996348,-0.12334675283660157
2885,131,-0.07851958894287545,-0.3566738598507148
2771,133,-0.14584809603111418,-0.30562548958712576
2658,134,-0.19976142851755663,0.3698493477281848
2544,136,-0.052777170910462766,-0.2357805848773288
2431,138,-0.05988071433241619,-0.26914652155236785
2317,139,0.5805161640921443,1.669162036123729
2204,141,0.6219505068097337,1.2076925552500593
3965,214,1.083555902161455,1.1107696518906913
3851,215,0.3122775959786287,0.05342804846823553
3738,217,0.08160172476871705,-0.21811215878113202
3624,219,0.3670040620480674,0.25126567135282546
3511,220,0.021953010636365483,-0.17294343761690745
3397,222,-0.3151101878395544,-0.3038008194584521
3284,224,-0.09919501163235869,-0.1735678459003457
3170,225,0.1155341299175422,-0.04742236423360816
3056,227,-0.0608045365731094,-0.2923267308533238
2943,228,-0.07263852605281806,-0.28612902470899987
2829,230,-0.06110916035285274,-0.3388175806833474
2716,232,-0.19986458070025598,-0.17320546686133645
2602,233,-0.16019430501026766,-0.33723475515000817
2489,235,-0.2775655618687553,-0.22283556850251232
2375,237,-0.26219487396413466,-0.3240722383368141
2262,238,-0.019524672803332664,-0.051843319902120634
2148,240,0.36793529191084035,-0.24967542900388273
2035,242,0.578110755737392,0.6521760816395717
4250,308,0.6473616541689695,2.022120961887265
4137,309,0.29460361463753426,0.4765219956695683
4023,311,0.27376636739334725,-0.18052063148289976
3909,313,-0.06673640274502116,0.2877372495484268
3796,314,-0.3638558850037779,-0.3503333520653122
3682,316,-0.21391234136644344,-0.2636507455086458
3569,318,-0.07787065947336784,-0.02098690494250687
3455,319,-0.37621450382629873,-0.23480522793158518
3342,321,-0.31066911429877253,-0.20070696243809094
3228,323,-0.21481073155094652,-0.3498278611215557
3115,324,0.15454841483522996,-0.21117705814768326
3001,326,0.04017691282462499,-0.3155502997547652
2888,327,-0.05718823441590004,-0.2413274188346369
2774,329,-0.3630980410698722,-0.329377463135145
2661,331,-0.00912575041916593,-0.11384183889601733
2547,332,-0.14739421983597806,-0.29268488616776245
2433,334,-0.23010085238252928,-0.233987035072074
2320,336,0.049772954726188715,-0.3357454187835956
2206,337,-0.1595525762553554,-0.31116291605339735
2093,339,0.016203600870029488,-0.15505671585094322
1979,341,-0.14801287901957405,0.31758029756094563
1866,342,0.7785691856181176,0.42178270341802276
4422,404,0.26851959992471575,0.6978303746124649
4308,405,0.25560700988993584,0.016757452195495254
4195,407,0.0873526550822988,0.028831285159718927
4081,408,0.0065546803252212625,-0.4107389814435427
3968,410,-0.4143878533608148,-0.4230987826166403
3854,412,-0.3536984905646586,-0.24016060338170322
3741,413,-0.4258385856690137,0.0271225510472905
3627,415,-0.13973151657480726,-0.2783135654629496
3513,417,-0.281955158493169,-0.11447508394485319
3400,418,0.07915228187282586,-0.16313202243478228
3286,420,0.006995637723428899,-0.3559214841092367
3173,422,-0.406409355949022,-0.2600343452653994
3059,423,-0.06183848045388307,0.16012994591908028
2946,425,-0.2220469864956552,-0.2863919727901086
2832,427,-0.22778141212367106,-0.23125299891082954
2719,428,-0.3078924901077341,-0.2513576912476491
2605,430,0.13139338814418472,-0.4514853065414824
2492,431,-0.01910955448352266,-0.4188043633699933
2378,433,-0.25664674434392837,-0.4514853065414824
2265,435,-0.176178912173622,-0.4514853065414824
2151,436,0.1256418966403287,-0.34439361421840053
2037,438,-0.153582293418542,-0.37396599753024745
1924,440,-0.19543765486808987,-0.14616400044382616
1810,441,-0.02192986441150751,-0.028307506534489213
1697,443,0.44863749886156734,0.7920312470567504
4594,499,0.5374757459588106,0.40963014975167206
4480,501,0.151901232283666,-0.010142051238650085
4366,503,0.06770510273174513,-0.19785254172358938
4253,504,-0.2289016819631,-0.4071322019631141
4139,506,-0.4442446451092589,-0.3773022299311448
4026,508,-0.45977130972643854,-0.35920559228409954
3912,509,-0.2683674912302424,-0.4514853065414824
3799,511,0.09074787632238483,-0.3566754666237209
3685,512,-0.438700541053137,-0.2018701039985611
3572,514,-0.24867859366604753,-0.29284869585200046
3458,516,-0.0738440529467255,-0.0656277489283162
3345,517,-0.20085753540282664,-0.40968886981079167
3231,519,0.08516560211052988,-0.4514853065414824
3118,521,-0.043122299411616036,-0.17906908694678322
3004,522,0.048965467967784664,0.05786771785740772
2890,524,-0.14826451308815464,-0.10505293261160627
2777,526,-0.3127796902630605,-0.12404818343367098
2663,527,-0.32914621339812195,-0.4514853065414824
2550,529,-0.16944935714807272,-0.40984071215472184
2436,530,-0.2661223341084486,-0.39775998222747616
2323,532,-0.2519802275527964,-0.3323090655633227
2209,534,-0.2234294542344124,-0.42418807529790037
2096,535,0.1486650752738992,-0.4017317677741951
1982,537,-0.2484503565240308,-0.39145493476626164
1869,539,-0.059561827768988884,-0.3803048647431495
1755,540,-0.16866198095154422,-0.07587063465986361
1642,542,0.025388115631249354,-0.12942400101184012
1528,544,0.7390044692692097,2.58340528753245
4765,595,0.4752415428162826,0.14924441630790689
4652,597,0.33080492059004135,0.1152260977458523
4538,598,0.1720675855207342,-0.36101693091977594
4425,600,-0.1513179430794907,-0.3206610088210615
4311,602,-0.37957643910834443,-0.42002324665726337
4198,603,-0.30652065407681667,-0.30647190026999
4084,605,-0.20606454145956996,-0.21954773049471124
3970,607,-0.17488508805412184,-0.15737115754160866
3857,608,-0.32567517933672036,-0.09223265860970929
3743,610,0.1443051763191717,-0.19212909489369834
3630,611,-0.09883851460108246,-0.35700696265873105
3516,613,-0.3287582258693027,-0.24039503223020686
3403,615,-0.13657150266356752,-0.3747576980458227
3289,616,0.13079534174893045,-0.40305129531230116
3176,618,-0.10560787603249133,-0.3156838921826309
3062,620,-0.20026212050239098,-0.23568881502161365
2949,621,-0.12220890092438315,-0.3615665818535694
2835,623,-0.38841548113088786,-0.27514631702363673
2722,625,-0.32531121785292993,-0.08813079717750251
2608,626,-0.21116692655497388,-0.27466966817449273
2494,628,-0.12177578455451936,-0.19427844024788032
2381,630,-0.17838811620650027,-0.3678627642595291
2267,631,-0.19508374302672832,-0.4258496002818952
2154,633,-0.23441937499692528,-0.3531065983975026
2040,634,-0.16951563001991685,-0.277460826765648
1927,636,-0.1653394620098286,-0.3338821385505048
1813,638,-0.26522931666838506,-0.4041043865823755
1700,639,-0.14121608341066694,-0.14102614989686243
1586,641,-0.1863556569650571,-0.09102585093990352
1473,643,0.15583511082897325,0.48411026775210236
5051,689,0.9180293053043759,1.2223754458329805
4937,691,0.3791255349378849,0.7698008905966436
4823,692,0.38471279876249137,-0.3043402065885519
4710,694,0.06619272939888861,-0.22001333874844806
4596,696,-0.130001903258046,-0.4514853065414824
