axis_gene,axis_arm,n_var,min_p,n_gws,n_sugg,gws
APOE,accelerator,1577,0.0,416,494,True
TREM2,accelerator,1740,1.394e-27,61,127,True
CTSB,DAM_only,2521,5.462e-09,2,4,True
CD68,accelerator,1598,2.121e-07,0,2,False
TNF,accelerator,2120,2.02e-06,0,3,False
CD9,DAM_only,1760,1.901e-05,0,0,False
TYROBP,accelerator,1419,4.881e-05,0,0,False
TLR2,accelerator,1552,7.08e-05,0,0,False
LGALS3,accelerator,1453,0.000145,0,0,False
GPNMB,accelerator,1522,0.0001944,0,0,False
TGFB1,resolution,993,0.000201,0,0,False
AXL,DAM_only,1421,0.0002356,0,0,False
ANXA1,resolution,1517,0.000246,0,0,False
CD44,accelerator,1668,0.0002539,0,0,False
C1QA,accelerator,1610,0.0002659,0,0,False
CTSD,DAM_only,1931,0.0003321,0,0,False
CST7,accelerator,1943,0.0003839,0,0,False
CTSL,DAM_only,1684,0.0004304,0,0,False
HAS1,resolution,1828,0.0004534,0,0,False
LPL,accelerator,1860,0.0005407,0,0,False
SPP1,accelerator,1628,0.0005708,0,0,False
CXCL10,accelerator,1814,0.0005937,0,0,False
CLEC7A,accelerator,1700,0.0006175,0,0,False
ITGAX,accelerator,1077,0.0006787,0,0,False
HMMR,resolution,1463,0.0007357,0,0,False
LGALS3BP,DAM_only,1898,0.000848,0,0,False
FTH1,DAM_only,1592,0.0009401,0,0,False
CD63,DAM_only,1226,0.001159,0,0,False
HAS2,resolution,1500,0.001359,0,0,False
HAS3,resolution,1343,0.00146,0,0,False
B2M,accelerator,1278,0.001766,0,0,False
C3,accelerator,1823,0.002008,0,0,False
IL10,resolution,1365,0.002194,0,0,False
SOCS3,resolution,2001,0.002486,0,0,False
TNFAIP6,resolution,1607,0.002764,0,0,False
IL1B,accelerator,1352,0.004058,0,0,False
C1QB,accelerator,157,0.01463,0,0,False
