cell,gene,role,TBI,Ctrl,delta,pct_TBI,p
Microglia,Hyal1,HYAL (lysosomal),0.037567858,0.050265193,-0.012697335,2.9443964881992546,0.04598847
Microglia,Hyal2,HYAL (membrane),0.052855007,0.03834492,0.014510088,4.37080236646525,0.108055495
Microglia,Cemip,CEMIP/HYBID,0.001030327,0.0002994971,0.00073082995,0.07579426069014886,0.30810237
Microglia,Tmem2,TMEM2,0.015987368,0.012245071,0.0037422972,1.0674358380529299,0.13309555
Microglia,Cybb,ROS (NOX2),0.19112223,0.016454814,0.17466742,13.444006989915152,2.0822139e-05
Microglia,Rac2,ROS (NOX2 assembly),0.5535379,0.4210629,0.13247502,37.36867591637367,0.029848726
Astrocyte,Hyal1,HYAL (lysosomal),0.049793866,0.041902028,0.0078918375,3.524229074889868,0.569915
Astrocyte,Hyal2,HYAL (membrane),0.059817806,0.034817133,0.025000673,4.365238285943131,0.25731993
Astrocyte,Cemip,CEMIP/HYBID,0.008347967,0.0013710004,0.0069769663,0.5206247496996396,0.21844494
Astrocyte,Tmem2,TMEM2,0.061449107,0.027075961,0.034373146,4.485382458950741,0.47463495
Astrocyte,Cybb,ROS (NOX2),0.05550265,0.0021073583,0.05339529,2.643171806167401,0.0041642278
Astrocyte,Rac2,ROS (NOX2 assembly),0.110366374,0.10542099,0.0049453825,5.246295554665599,0.9436829
