gene,n,PP4_caQTL_eQTL,PP4_eQTL_GWAS,PP4_caQTL_GWAS,arm
C1QA,222,0.177348864158347,0.0004550650554287196,0.00015776366831806964,accelerator
CD68,317,0.06861878107551718,0.007572696790137132,0.059446876965060944,accelerator
CLEC7A,1746,0.05708211928443852,0.004308026093141742,0.0014840953208348606,accelerator
GPNMB,568,0.05082917908992542,0.0032796511420784776,0.00015365266311856093,accelerator
SPP1,3943,0.04213810330898088,0.001318468426612996,0.00332104543384184,accelerator
B2M,175,0.03175089748110723,0.0030363505148269018,7.354277895019515e-05,accelerator
TNFAIP6,173,0.03151667239658929,0.003346913021114952,4.684487227026438e-05,resolution
CTSB,3355,0.03125368154223148,0.0008475114739661622,0.001961751277521677,DAM_only
C1QC,424,0.018294147254021145,0.0023860557574948114,8.378019609451587e-05,accelerator
TLR2,966,0.01692059768177707,0.001640649812336517,0.00031211683617845507,accelerator
CTSL,671,0.011774578019782418,0.0004436960815271472,0.00046069308604403526,DAM_only
ANXA1,2559,0.011525400941376237,0.0002998182121513837,0.0015158269410888488,resolution
CD63,54,0.011380266591506752,0.017411031555734056,4.591678795881299e-06,DAM_only
CD9,1854,0.010866006363795673,0.0002374235266466038,0.0012069164396974453,DAM_only
CD44,1573,0.009626141035026745,0.0008392324549926609,0.0005257679143909014,accelerator
CXCL10,1431,0.008332227679665993,0.00033798193424188855,0.00030900553047313346,accelerator
HAS3,133,0.007854017750269624,7.564970926526023e-05,0.0017269576088288954,resolution
LGALS3,1298,0.007495116465194708,0.004387224630339608,0.0019447499270217959,accelerator
CTSD,379,0.005210892768171855,0.000940531270142703,0.00038819209577302237,DAM_only
ITGAX,899,0.0048916072333071775,0.0009788223204914707,0.0019133074800015922,accelerator
LPL,1274,0.004020032075789014,0.00308498778060378,0.0032396471750452786,accelerator
IL10,1027,0.003078372940280777,0.00020045197277224872,0.0003736634288791889,resolution
C1QB,543,0.001977095441653637,8.484449715976727e-05,0.00017042574464175132,accelerator
HMMR,125,0.0016917329497324605,0.00016103930270064358,1.6360789727963453e-05,resolution
IL1B,890,0.0016471388841229446,0.0006310648883645592,0.0005404879933476148,accelerator
TREM2,386,0.0013256299779183277,0.055087291220272165,0.03269718197006663,accelerator
TNF,228,0.0010791390852675654,0.0015599188499538488,0.001635304818420622,accelerator
FTH1,324,0.0006463081040343499,0.0004067104175693436,0.0003697836588133915,DAM_only
LGALS3BP,173,0.00039472412217184355,0.00011035312037406632,7.9716593636258e-05,DAM_only
